Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,1562.260010,1563.689941,1515.050049,1530.280029,1530.280029,0
2018-04-03,1530.869995,1552.010010,1527.589966,1549.329956,1549.329956,0
2018-04-04,1545.199951,1569.939941,1527.780029,1567.089966,1567.089966,0
2018-04-05,1570.489990,1582.949951,1570.489990,1578.020020,1578.020020,0
2018-04-06,1573.780029,1574.530029,1533.699951,1544.280029,1544.280029,0
2018-04-09,1547.479980,1571.650024,1547.369995,1548.510010,1548.510010,0
2018-04-10,1550.790039,1579.589966,1550.790039,1574.670044,1574.670044,0
2018-04-11,1571.910034,1577.750000,1565.770020,1567.500000,1567.500000,0
2018-04-12,1569.819946,1585.729980,1569.819946,1579.680054,1579.680054,0
2018-04-13,1582.849976,1588.709961,1568.430054,1574.589966,1574.589966,0
2018-04-16,1578.089966,1592.310059,1578.089966,1587.579956,1587.579956,0
2018-04-17,1590.780029,1608.439941,1590.780029,1604.510010,1604.510010,0
2018-04-18,1605.219971,1611.739990,1603.589966,1606.459961,1606.459961,0
2018-04-19,1605.449951,1605.449951,1591.030029,1597.250000,1597.250000,0
2018-04-20,1597.109985,1597.479980,1579.319946,1584.380005,1584.380005,0
2018-04-23,1585.790039,1591.640015,1577.109985,1584.050049,1584.050049,0
2018-04-24,1585.660034,1592.170044,1554.560059,1564.359985,1564.359985,0
2018-04-25,1564.229980,1570.030029,1551.849976,1566.310059,1566.310059,0
2018-04-26,1568.589966,1586.829956,1568.589966,1581.469971,1581.469971,0
2018-04-27,1584.680054,1587.439941,1576.239990,1582.640015,1582.640015,0
2018-04-30,1583.300049,1590.099976,1569.900024,1569.910034,1569.910034,0
2018-05-01,1568.790039,1574.400024,1557.420044,1574.180054,1574.180054,0
2018-05-02,1573.349976,1578.849976,1562.560059,1564.569946,1564.569946,0
2018-05-03,1563.010010,1565.000000,1540.750000,1560.619995,1560.619995,0
2018-05-04,1559.540039,1585.369995,1552.880005,1580.760010,1580.760010,0
2018-05-07,1581.239990,1593.729980,1581.239990,1587.439941,1587.439941,0
2018-05-08,1587.180054,1590.020020,1578.880005,1588.060059,1588.060059,0
2018-05-09,1589.589966,1604.660034,1589.160034,1602.579956,1602.579956,0
2018-05-10,1604.239990,1618.660034,1604.239990,1616.380005,1616.380005,0
2018-05-11,1616.609985,1622.079956,1613.050049,1618.859985,1618.859985,0
2018-05-14,1619.790039,1627.060059,1617.030029,1619.400024,1619.400024,0
2018-05-15,1618.310059,1618.310059,1604.660034,1609.650024,1609.650024,0
2018-05-16,1609.739990,1620.270020,1609.739990,1617.030029,1617.030029,0
2018-05-17,1616.670044,1623.280029,1611.709961,1616.810059,1616.810059,0
2018-05-18,1616.589966,1616.880005,1611.290039,1613.479980,1613.479980,0
2018-05-21,1614.459961,1628.479980,1614.459961,1625.349976,1625.349976,0
2018-05-22,1625.599976,1630.260010,1618.010010,1619.250000,1619.250000,0
2018-05-23,1619.069946,1624.000000,1611.479980,1624.000000,1624.000000,0
2018-05-24,1623.800049,1623.800049,1609.619995,1621.369995,1621.369995,0
2018-05-25,1620.949951,1620.949951,1614.489990,1618.010010,1618.010010,0
2018-05-29,1616.150024,1616.150024,1594.180054,1601.619995,1601.619995,0
2018-05-30,1603.579956,1625.369995,1603.579956,1622.140015,1622.140015,0
2018-05-31,1622.060059,1622.060059,1608.219971,1610.670044,1610.670044,0
2018-06-01,1613.949951,1628.510010,1613.949951,1627.400024,1627.400024,0
2018-06-04,1628.770020,1635.739990,1628.770020,1634.989990,1634.989990,0
2018-06-05,1635.000000,1638.910034,1631.459961,1637.380005,1637.380005,0
2018-06-06,1638.640015,1651.260010,1637.510010,1651.260010,1651.260010,0
2018-06-07,1651.369995,1655.760010,1643.390015,1649.420044,1649.420044,0
2018-06-08,1649.349976,1655.020020,1645.890015,1654.739990,1654.739990,0
2018-06-11,1654.760010,1660.469971,1654.760010,1656.430054,1656.430054,0
2018-06-12,1657.339966,1662.099976,1655.400024,1660.030029,1660.030029,0
2018-06-13,1660.790039,1662.520020,1652.760010,1653.160034,1653.160034,0
2018-06-14,1654.910034,1660.800049,1653.560059,1657.630005,1657.630005,0
2018-06-15,1656.170044,1657.660034,1645.680054,1656.180054,1656.180054,0
2018-06-18,1653.060059,1654.800049,1643.349976,1654.329956,1654.329956,0
2018-06-19,1653.229980,1653.229980,1635.829956,1648.109985,1648.109985,0
2018-06-20,1650.300049,1656.219971,1649.420044,1652.449951,1652.449951,0
2018-06-21,1652.410034,1653.069946,1637.819946,1640.930054,1640.930054,0
2018-06-22,1643.400024,1648.770020,1642.310059,1643.390015,1643.390015,0
2018-06-25,1640.189941,1640.189941,1609.979980,1619.780029,1619.780029,0
2018-06-26,1621.359985,1629.300049,1618.739990,1624.089966,1624.089966,0
2018-06-27,1625.469971,1636.449951,1608.380005,1608.390015,1608.390015,0
2018-06-28,1607.790039,1622.369995,1603.310059,1617.959961,1617.959961,0
2018-06-29,1618.229980,1633.099976,1618.229980,1618.989990,1618.989990,0
2018-07-02,1618.310059,1624.550049,1608.160034,1624.390015,1624.390015,0
2018-07-03,1625.060059,1630.229980,1616.969971,1618.040039,1618.040039,0
